session_id,developer_id,user_segment,task_id,suggestion_id,timestamp,language,model_version,latency_ms,suggestion_length,final_code_length,accepted,edited_after_accept,ignored,compile_success,test_pass,error_type,hallucination_flag
1,14,intermediate,62,1,2026-07-27T21:38:51.349295,python,model_v2,791,20,20,False,False,False,True,True,none,False
1,14,intermediate,62,2,2026-07-27T21:38:58.349295,python,model_v2,781,8,7,False,False,False,True,True,none,False
1,14,intermediate,62,3,2026-07-27T21:39:45.349295,python,model_v2,506,37,53,False,False,False,True,False,logical_bug,False
1,14,intermediate,62,4,2026-07-27T21:41:35.349295,python,model_v2,585,33,46,True,True,False,True,True,none,False
1,14,intermediate,62,5,2026-07-27T21:41:48.349295,python,model_v2,589,11,16,True,True,False,True,True,none,False
1,14,intermediate,62,6,2026-07-27T21:41:05.349295,python,model_v2,526,16,25,True,False,False,True,True,none,False
1,14,intermediate,62,7,2026-07-27T21:43:54.349295,python,model_v2,684,28,44,True,False,False,True,True,none,False
1,14,intermediate,62,8,2026-07-27T21:38:42.349295,python,model_v2,693,18,32,False,False,False,True,True,none,False
1,14,intermediate,62,9,2026-07-27T21:39:53.349295,python,model_v2,874,28,33,True,True,False,True,True,none,False
1,14,intermediate,62,10,2026-07-27T21:43:53.349295,python,model_v2,756,28,42,True,True,False,True,True,none,False
1,14,intermediate,62,11,2026-07-27T21:47:30.349295,python,model_v2,480,15,30,True,True,False,True,True,none,False
1,14,intermediate,62,12,2026-07-27T21:47:36.349295,python,model_v2,743,7,12,False,False,True,True,True,none,False
1,14,intermediate,62,13,2026-07-27T21:47:40.349295,python,model_v2,723,19,31,True,True,False,True,True,none,False
1,14,intermediate,62,14,2026-07-27T21:44:02.349295,python,model_v2,586,10,22,True,True,False,True,False,logical_bug,False
1,14,intermediate,62,15,2026-07-27T21:51:43.349295,python,model_v2,514,27,33,False,False,False,True,True,none,False
1,14,intermediate,62,16,2026-07-27T21:43:18.349295,python,model_v2,507,14,20,True,True,False,True,True,none,False
1,14,intermediate,62,17,2026-07-27T21:42:09.349295,python,model_v2,433,36,31,False,False,True,True,True,none,False
1,14,intermediate,62,18,2026-07-27T21:50:12.349295,python,model_v2,496,31,44,True,True,False,True,True,none,False
1,14,intermediate,62,19,2026-07-27T21:41:22.349295,python,model_v2,471,19,33,False,False,True,True,True,none,False
1,14,intermediate,62,20,2026-07-27T21:40:04.349295,python,model_v2,429,10,15,False,False,True,True,True,none,False
1,14,intermediate,62,21,2026-07-27T21:57:47.349295,python,model_v2,501,21,29,True,True,False,True,True,none,False
1,14,intermediate,62,22,2026-07-27T21:40:15.349295,python,model_v2,809,21,16,True,True,False,True,True,none,False
1,14,intermediate,62,23,2026-07-27T21:45:49.349295,python,model_v2,692,36,49,False,False,True,False,False,syntax_error,True
1,14,intermediate,62,24,2026-07-27T21:40:48.349295,python,model_v2,541,30,38,False,False,False,True,False,logical_bug,False
1,14,intermediate,62,25,2026-07-27T21:46:44.349295,python,model_v2,626,17,34,False,False,True,True,True,none,False
1,14,intermediate,62,26,2026-07-27T22:03:48.349295,python,model_v2,675,13,10,False,False,False,True,True,none,False
1,14,intermediate,62,27,2026-07-27T21:59:20.349295,python,model_v2,588,31,36,True,False,False,True,False,logical_bug,False
1,14,intermediate,62,28,2026-07-27T21:46:30.349295,python,model_v2,897,18,14,True,True,False,True,False,logical_bug,False
2,124,beginner,4,1,2026-07-27T21:41:21.349295,python,model_v1,946,16,35,False,False,True,True,True,none,False
2,124,beginner,4,2,2026-07-27T21:41:23.349295,python,model_v1,946,38,36,False,False,True,True,True,none,False
2,124,beginner,4,3,2026-07-27T21:43:26.349295,python,model_v1,987,7,20,True,True,False,False,False,logical_bug,False
2,124,beginner,4,4,2026-07-27T21:42:46.349295,python,model_v1,800,9,16,False,False,False,True,False,logical_bug,False
2,124,beginner,4,5,2026-07-27T21:41:30.349295,python,model_v1,886,10,20,True,True,False,True,False,logical_bug,False
2,124,beginner,4,6,2026-07-27T21:44:45.349295,python,model_v1,722,30,45,True,False,False,True,True,none,False
2,124,beginner,4,7,2026-07-27T21:46:53.349295,python,model_v1,751,21,21,False,False,True,False,False,runtime_error,False
2,124,beginner,4,8,2026-07-27T21:46:04.349295,python,model_v1,770,9,13,True,False,False,False,False,syntax_error,False
2,124,beginner,4,9,2026-07-27T21:45:28.349295,python,model_v1,1169,14,14,False,False,False,True,True,none,False
2,124,beginner,4,10,2026-07-27T21:47:15.349295,python,model_v1,901,11,26,True,True,False,False,False,syntax_error,False
2,124,beginner,4,11,2026-07-27T21:43:34.349295,python,model_v1,793,25,23,True,True,False,True,True,none,False
2,124,beginner,4,12,2026-07-27T21:42:34.349295,python,model_v1,920,23,35,True,True,False,True,False,logical_bug,False
3,119,beginner,68,1,2026-07-27T21:44:13.349295,javascript,model_v1,1272,6,6,False,False,True,True,True,none,False
3,119,beginner,68,2,2026-07-27T21:45:06.349295,javascript,model_v1,683,13,10,True,False,False,True,False,logical_bug,False
3,119,beginner,68,3,2026-07-27T21:46:42.349295,javascript,model_v1,683,34,37,False,False,True,False,False,logical_bug,True
3,119,beginner,68,4,2026-07-27T21:46:16.349295,javascript,model_v1,872,33,52,True,True,False,True,True,none,False
3,119,beginner,68,5,2026-07-27T21:45:02.349295,javascript,model_v1,586,35,34,True,True,False,True,True,none,False
3,119,beginner,68,6,2026-07-27T21:46:34.349295,javascript,model_v1,692,19,19,False,False,False,True,True,none,False
3,119,beginner,68,7,2026-07-27T21:48:00.349295,javascript,model_v1,1111,15,22,False,False,True,True,True,none,False
3,119,beginner,68,8,2026-07-27T21:50:02.349295,javascript,model_v1,673,27,36,False,False,True,True,True,none,False
3,119,beginner,68,9,2026-07-27T21:50:43.349295,javascript,model_v1,959,29,37,True,False,False,False,False,syntax_error,False
3,119,beginner,68,10,2026-07-27T21:51:59.349295,javascript,model_v1,745,37,55,True,True,False,True,False,logical_bug,False
3,119,beginner,68,11,2026-07-27T21:46:37.349295,javascript,model_v1,1023,38,33,True,True,False,False,False,logical_bug,False
3,119,beginner,68,12,2026-07-27T21:50:23.349295,javascript,model_v1,540,25,23,True,True,False,True,False,logical_bug,False
3,119,beginner,68,13,2026-07-27T21:50:03.349295,javascript,model_v1,764,37,37,True,False,False,False,False,logical_bug,True
3,119,beginner,68,14,2026-07-27T21:49:49.349295,javascript,model_v1,827,28,30,True,False,False,True,True,none,False
3,119,beginner,68,15,2026-07-27T21:55:15.349295,javascript,model_v1,738,10,28,False,False,True,True,False,logical_bug,False
3,119,beginner,68,16,2026-07-27T21:55:50.349295,javascript,model_v1,976,37,42,False,False,True,True,True,none,False
3,119,beginner,68,17,2026-07-27T21:56:05.349295,javascript,model_v1,866,9,6,False,False,True,True,True,none,False
3,119,beginner,68,18,2026-07-27T21:50:27.349295,javascript,model_v1,928,20,33,True,False,False,False,False,logical_bug,False
3,119,beginner,68,19,2026-07-27T21:50:30.349295,javascript,model_v1,918,32,28,False,False,True,True,True,none,False
3,119,beginner,68,20,2026-07-27T22:02:05.349295,javascript,model_v1,929,8,9,True,False,False,True,False,logical_bug,False
3,119,beginner,68,21,2026-07-27T21:58:21.349295,javascript,model_v1,810,13,8,True,False,False,False,False,logical_bug,False
3,119,beginner,68,22,2026-07-27T21:50:37.349295,javascript,model_v1,499,5,6,False,False,False,False,False,runtime_error,False
3,119,beginner,68,23,2026-07-27T22:00:37.349295,javascript,model_v1,1049,7,13,True,True,False,True,False,logical_bug,False
3,119,beginner,68,24,2026-07-27T21:59:50.349295,javascript,model_v1,724,6,12,False,False,True,True,False,logical_bug,False
4,24,beginner,42,1,2026-07-27T21:47:37.349295,typescript,model_v1,908,7,17,True,False,False,False,False,syntax_error,False
4,24,beginner,42,2,2026-07-27T21:47:28.349295,typescript,model_v1,759,31,30,False,False,True,False,False,logical_bug,False
4,24,beginner,42,3,2026-07-27T21:48:48.349295,typescript,model_v1,904,13,31,True,True,False,True,False,logical_bug,False
4,24,beginner,42,4,2026-07-27T21:50:45.349295,typescript,model_v1,907,21,28,True,True,False,True,True,none,False
4,24,beginner,42,5,2026-07-27T21:48:40.349295,typescript,model_v1,1011,26,31,False,False,True,True,True,none,False
4,24,beginner,42,6,2026-07-27T21:48:40.349295,typescript,model_v1,539,26,28,True,True,False,True,True,none,False
4,24,beginner,42,7,2026-07-27T21:51:14.349295,typescript,model_v1,902,25,37,False,False,True,True,False,logical_bug,False
4,24,beginner,42,8,2026-07-27T21:51:40.349295,typescript,model_v1,678,23,33,True,True,False,False,False,runtime_error,False
4,24,beginner,42,9,2026-07-27T21:55:02.349295,typescript,model_v1,937,34,41,False,False,False,True,False,logical_bug,False
4,24,beginner,42,10,2026-07-27T21:52:20.349295,typescript,model_v1,941,6,2,False,False,True,True,True,none,False
4,24,beginner,42,11,2026-07-27T21:49:38.349295,typescript,model_v1,990,7,20,True,False,False,False,False,runtime_error,False
4,24,beginner,42,12,2026-07-27T21:52:04.349295,typescript,model_v1,984,13,23,True,True,False,False,False,runtime_error,False
4,24,beginner,42,13,2026-07-27T21:59:55.349295,typescript,model_v1,915,19,21,False,False,False,True,False,logical_bug,False
4,24,beginner,42,14,2026-07-27T21:48:17.349295,typescript,model_v1,968,31,39,True,True,False,False,False,syntax_error,False
4,24,beginner,42,15,2026-07-27T21:55:52.349295,typescript,model_v1,716,33,52,True,True,False,True,True,none,False
4,24,beginner,42,16,2026-07-27T21:59:23.349295,typescript,model_v1,888,21,27,True,True,False,False,False,syntax_error,False
4,24,beginner,42,17,2026-07-27T21:49:05.349295,typescript,model_v1,615,11,13,True,True,False,True,True,none,False
4,24,beginner,42,18,2026-07-27T21:52:30.349295,typescript,model_v1,726,34,44,False,False,True,False,False,runtime_error,True
4,24,beginner,42,19,2026-07-27T21:54:57.349295,typescript,model_v1,956,35,38,False,False,True,False,False,syntax_error,False
4,24,beginner,42,20,2026-07-27T21:57:54.349295,typescript,model_v1,803,15,24,False,False,True,True,True,none,False
4,24,beginner,42,21,2026-07-27T21:50:45.349295,typescript,model_v1,839,39,56,False,False,True,True,True,none,False
4,24,beginner,42,22,2026-07-27T21:49:19.349295,typescript,model_v1,752,29,35,True,True,False,True,True,none,False
4,24,beginner,42,23,2026-07-27T22:03:43.349295,typescript,model_v1,878,29,48,False,False,True,False,False,syntax_error,False
4,24,beginner,42,24,2026-07-27T22:04:50.349295,typescript,model_v1,676,26,40,False,False,True,False,False,runtime_error,False
4,24,beginner,42,25,2026-07-27T22:01:44.349295,typescript,model_v1,885,19,38,False,False,True,False,False,syntax_error,False
4,24,beginner,42,26,2026-07-27T22:07:01.349295,typescript,model_v1,786,5,3,True,False,False,True,False,logical_bug,False
4,24,beginner,42,27,2026-07-27T22:00:44.349295,typescript,model_v1,583,13,18,False,False,True,True,False,logical_bug,False
4,24,beginner,42,28,2026-07-27T22:13:03.349295,typescript,model_v1,964,13,8,True,True,False,True,False,logical_bug,False
4,24,beginner,42,29,2026-07-27T22:08:21.349295,typescript,model_v1,916,5,21,False,False,False,True,True,none,False
4,24,beginner,42,30,2026-07-27T22:06:35.349295,typescript,model_v1,783,20,15,False,False,True,True,True,none,False
4,24,beginner,42,31,2026-07-27T22:15:01.349295,typescript,model_v1,1054,13,13,False,False,True,False,False,runtime_error,False
4,24,beginner,42,32,2026-07-27T21:58:25.349295,typescript,model_v1,559,20,24,True,False,False,True,True,none,False
4,24,beginner,42,33,2026-07-27T22:00:04.349295,typescript,model_v1,625,19,34,False,False,True,True,True,none,False
4,24,beginner,42,34,2026-07-27T22:07:44.349295,typescript,model_v1,590,7,11,False,False,True,True,True,none,False
4,24,beginner,42,35,2026-07-27T21:52:03.349295,typescript,model_v1,938,24,19,True,False,False,True,True,none,False
4,24,beginner,42,36,2026-07-27T22:21:38.349295,typescript,model_v1,847,22,30,True,False,False,True,True,none,False
4,24,beginner,42,37,2026-07-27T22:20:53.349295,typescript,model_v1,771,39,52,False,False,True,True,True,none,False
4,24,beginner,42,38,2026-07-27T22:01:23.349295,typescript,model_v1,902,17,33,True,True,False,False,False,runtime_error,False
4,24,beginner,42,39,2026-07-27T22:18:15.349295,typescript,model_v1,972,35,41,False,False,True,False,False,logical_bug,False
